# Creation time: 2022-06-20T16:44:02.726  -0600
#   a      e        i        q        r        M       node     peri  m_rand H_rand color Comments delta
  34.976  0.112    4.377   31.059   38.753  162.785  261.891    6.291  23.72   7.81  0.00 38.76                            37.78
  42.232  0.130    9.111   36.742   42.136  278.418   44.709   95.173  23.89   7.65  0.00 42.20                            41.15
  42.481  0.342    0.092   27.952   28.113  354.352   61.203   80.460  23.42   8.89  0.00 28.36                            27.15
  42.188  0.410    3.599   24.891   27.539   19.640  328.430  109.390  22.66   8.22  0.00 26.74                            26.57
  42.413  0.161    5.858   35.585   43.518   90.240  179.961   67.759  22.97   6.57  0.00 43.62                            42.53
  42.273  0.221    7.848   32.931   36.034  321.349  320.752  234.768  24.09   8.53  0.00 36.16                            35.05
  42.495  0.199   13.527   34.038   40.614  293.977  247.823  264.952  24.03   7.86  0.00 40.52                            39.69
  55.350  0.418    0.850   32.214   33.927   13.139  102.968   60.566  23.11   7.73 -0.70 34.19                            32.97
  55.500  0.285    6.120   39.683   42.048  336.837  112.610  222.942  23.52   7.27  0.00 42.06                            41.04
  55.279  0.377   30.330   34.439   34.463    1.667  248.823  175.665  23.66   8.22  0.00 34.46                            33.51
  55.431  0.437    7.292   31.208   45.546   43.055  237.391  259.912  23.77   7.14  0.00 45.55                            44.56
  36.417  0.093    7.310   33.030   35.025  299.169   59.341  254.467  23.11   7.62  0.00 35.11                            34.04
  36.631  0.087    6.115   33.444   34.053  327.023  334.136  203.639  24.27   8.97  0.00 34.10                            33.07
  36.522  0.160    5.109   30.678   31.857  328.503   32.892  237.381  23.05   7.95  0.00 31.85                            30.89
  36.690  0.127    2.105   32.030   32.087    7.932  342.217  139.455  23.84   8.72  0.00 32.03                            31.13
  39.326  0.212    9.653   30.989   42.457  100.824  178.254   57.113  23.31   7.03  0.00 42.58                            41.46
  39.306  0.176   14.749   32.388   36.963  299.262   38.893   78.589  24.38   8.68  0.00 37.04                            35.99
  39.326  0.224   22.740   30.517   31.018  344.871  235.723   20.796  23.49   8.53  0.00 31.01                            30.02
  39.478  0.146    1.772   33.714   34.428   24.778   20.138  143.169  22.69   7.23 -0.70 34.53                            33.48
  39.587  0.202   24.152   31.590   32.659  335.843   77.017   36.061  23.99   8.84  0.00 32.59                            31.68
  39.321  0.208   20.353   31.142   31.999   21.135    9.977  147.149  23.53   8.47  0.00 32.14                            31.01
  39.422  0.174   17.849   32.563   34.292   34.957   68.484  132.310  23.40   7.97  0.00 34.17                            33.33
  39.529  0.131   17.574   34.351   34.948   24.268  223.499  331.781  23.41   7.94  0.00 34.95                            33.96
  39.526  0.187   22.693   32.135   35.375  313.044   66.253   65.426  24.06   8.50  0.00 35.30                            34.44
  39.374  0.201   16.471   31.460   41.955  261.832  225.525  298.705  24.33   8.12  0.00 42.04                            40.97
  39.555  0.210   13.077   31.248   33.877   38.085   50.789  124.930  23.47   8.13  0.00 33.88                            32.88
  39.585  0.165    7.742   33.053   33.056  358.040  343.938   10.329  23.01   7.77  0.00 33.04                            32.08
  39.501  0.284   16.973   28.283   35.541  305.901   13.932  268.561  23.65   8.06 -0.70 35.22                            34.59
